Name,FileSpec,Template,Loadspec,Secondary,VolumeGroup,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMaxCurve,WetMaxCurve,DryMinCurve,WetMinCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Storage,Looping,RandomizeType,Probability,StartDelay,ReverbSend,Duck,Pan,CenterSend,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,Futz,ContextType,ContextValue,Compression,Timescale,IsMusic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Bus,FutzPatch,NeverPlayTwice,WiiUMono,IsCinematic,DuckGroup,DopplerScale,GPAD,GPADOnly
PHY_IMP_LOUD_MOD,,,,,grp_physics,69,72,200,900,1100,,,,,3,priority,1,reject,-200,200,5,10,0.25,1,3d,,,,,,40,,,,50,300,50,0.2,,yes,,,,,,,,,,,,,,,bus_hdrfx,,,yes,,snp_destructible,,,
PHY_IMP_SOFT_MOD,,,,,grp_physics,65,68,100,750,850,,,,,2,priority,1,reject,-200,200,5,10,0.25,1,3d,,,,,,43,,,,50,300,50,0.1,,yes,,,,,,,,,,,,,,,bus_hdrfx,,,yes,,snp_destructible,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#  EVT - EVENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVT_EVENT_3D_MOD,,,,,grp_set_piece,77,77,500,10000,11000,,,,,,,,,0,0,80,100,0,0.7,3d,,,,,,40,,,,,,,0,,no,,,,,,,,,,,,,,,bus_fx,,,,,snp_scripted_moment,,,
EVT_EVENT_LFE_3D_MOD,,,,,grp_lfe,80,80,100,800,800,,,,,,,,,0,0,80,100,0,0.7,3d,,,,,,0,,lfe,,,,,0,,,,,,,,,,,,,,,,,bus_hdrfx,,,,,snp_scripted_moment,,,
EVT_EVENT_2D_MOD,,,,,grp_set_piece,77,77,,,,,,,,,,,,0,0,80,100,0,0.7,2d,,,,,,30,,front,,,,,0,,,,,,,,,,,,,,,,,bus_fx,,,,,snp_scripted_moment,,,
EVT_EVENT_LFE_2D_MOD,,,,,grp_lfe,80,80,,,,,,,,,,,,0,0,80,100,0,0.7,2d,,,,,,0,,lfe,,,,,0,,,,,,,,,,,,,,,,,bus_hdrfx,,,,,snp_scripted_moment,,,
EVT_EVENT_QUAD_MOD,,,,,grp_set_piece,77,77,,,,,,,,,,,,0,0,80,100,0,0.7,2d,,,,,,10,,quad,,,,,0,,,,,,,,,,,,,,,,,bus_fx,,,,,snp_scripted_moment,,,
EVT_EVENT_LFE_QUAD_MOD,,,,,grp_lfe,80,80,,,,,,,,,,,,0,0,80,100,0,0.7,2d,,,,,,10,,lfe,,,,,0,,,,,,,,,,,,,,,,,bus_hdrfx,,,,,snp_scripted_moment,,,
EVT_EVENT_IGC_2D_MOD,,,,,grp_set_piece,82,82,,,,,,,,,,,,0,0,95,100,0,1,2d,,,,,,0,,front,,,,,0,,,,,,,,,,,,,,,,,bus_fx,,,,,snp_scripted_moment,,,
EVT_EVENT_IGC_2D_LFE_MOD,,,,,grp_lfe,75,75,,,,,,,,,,,,0,0,95,100,0,1,2d,,,,,,0,,lfe,,,,,0,,,,,,,,,,,,,,,,,bus_hdrfx,,,,,snp_scripted_moment,,,
EVT_2HALF_D_MOD,,,,,grp_set_piece,78,78,250,500,550,,,,,,,,,0,0,95,100,0.25,1,3d,,,,,,10,,quad,,,,,0,,,,,,,,,,,,,,,,,bus_fx,,,,,snp_scripted_moment,,,
EVT_2HALF_D_LFE_MOD,,,,,grp_lfe,78,78,250,500,550,,,,,,,,,0,0,95,100,0,1,3d,,,,,,0,,lfe,,,,,0,,,,,,,,,,,,,,,,,bus_hdrfx,,,,,snp_scripted_moment,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tst_calibration_loop_MOD,,,,,grp_reference,90,90,,,,,,,,,,,,,,,,,,2d,,looping,,,,0,cod_alloff,,,,,,,,,,,,,,,,,,,,,,,bus_reference,,,,,snp_never_duck,,,
tst_calibration_MOD,,,,,grp_reference,90,90,,,,,,,,,,,,,,,,,,2d,,,,,,0,cod_alloff,,,,,,,,,,,,,,,,,,,,,,,bus_reference,,,,,snp_never_duck,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Move to Vox Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOX_PLOT_NPC_3D_LOW_MOD,,,,,grp_voice,98,98,600,1500,2500,cos,,,rev65,,,,,0,0,95,100,0,1,3d,loaded,,,,,65,,,100,50,250,80,0.1,,no,,,,,,,,,,,,,,yes,bus_voice,stereo,yes,,,snp_voice,,,
#  UIN - USER INTERFACE TEMPLATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_SHOT_PLR,,,,,grp_weapon,75,75,,,,,,,,2,oldest,,,0,0,90,90,0.25,1,2d,,,,,,50,,wpn_all,,,,,,,no,,,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_1p_shot,,,
WPN_ACT_PLR,,,,,grp_weapon,100,100,,,,,,,,3,oldest,,,0,0,90,90,0.25,1,2d,,,,,,100,,wpn_fnt,,,,,,,no,,,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_1p_act,,,
WPN_RING_PLR,,,,,grp_weapon,100,100,,,,,,,,3,oldest,,,0,0,90,90,0.25,1,2d,,,,,,100,,wpn_fnt,,,,,,,no,,,,,,ringoff_plr,outdoor,,yes,,,,,,bus_fx,,,,,snp_wpn_1p,,,
WPN_PLR_FLUX_L,,,,,grp_weapon_decay_3p,96,97,50,1800,,rcurve2,,,,3,oldest,,,-200,200,20,90,0.25,1,3d,,,pitch,,,0,,,,,,,,,no,left_shot,2000,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_1p,,,
WPN_PLR_FLUX_R,,,,,grp_weapon_decay_3p,96,97,50,1800,,rcurve2,,,,3,oldest,,,-200,200,20,90,0.25,1,3d,,,pitch,,,0,,,,,,,,,no,right_shot,2000,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_1p,,,
WPN_RELOAD_PLR,,,,,grp_weapon,75,75,,,,,,,,,,,,-88,84,70,70,0.25,1,2d,,,,,,20,,,,,,,,,,,,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_1p,,,
WPN_SHOT_NPC,,,,,grp_weapon_3p,75,75,500,2000,2200,rcurve3,rcurve2,,,10,priority,3,oldest,-100,100,40,90,0.25,1,3d,,,pitch,,,40,,,,,,,,,no,,,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_3p,,,
WPN_ACT_NPC,,,,,grp_weapon_3p,1,1,250,750,1000,rcurve2,rcurve1,,,10,priority,3,oldest,-100,100,40,90,0.25,1,3d,,,pitch,,,90,,,,,,,,,no,,,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_3p,,,
WPN_DIST_NPC,,,,,grp_weapon_decay_3p,99,99,1200,20000,25000,cos,,sin,,10,priority,3,oldest,-100,100,40,90,0.25,1,3d,,,pitch,,,100,,,,,,,,,no,,,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_3p_decay,,,
WPN_NPC_FLUX_L,,,,,grp_weapon_decay_3p,96,97,50,1800,,rcurve1,,,,,,8,oldest,-200,350,20,90,0.25,1,3d,,,pitch,,,0,,,,,,,,,no,left_shot,3000,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_3p_decay,,,
WPN_NPC_FLUX_R,,,,,grp_weapon_decay_3p,96,97,50,1800,,rcurve1,,,,,,8,oldest,-200,350,20,90,0.25,1,3d,,,pitch,,,0,,,,,,,,,no,right_shot,3000,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_3p_decay,,,
WPN_PAP_SHOT_PLR,,,,,grp_weapon,100,100,,,,rcurve3,,,,1,oldest,,,0,0,90,90,0.25,1,2d,,,,,,100,,wpn_all,,,,,,,no,,,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_1p_shot,,,
WPN_PAP_SHOT_NPC,,,,,grp_weapon_3p,98,98,150,2500,,rcurve2,rcurve2,,,10,priority,3,oldest,-100,100,50,90,0.35,1,3d,,,pitch,,,100,,,,,,,,,no,,,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_3p,,,
WPN_PAP_FLUX_L,,,,,grp_weapon_decay_3p,95,95,50,1800,,rcurve2,,,,4,priority,,,-34,34,90,90,0.25,1,3d,,,pitch,,,94,,,,,,,,,no,left_shot,4000,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_1p,,,
WPN_PAP_FLUX_R,,,,,grp_weapon_decay_3p,95,95,50,1800,,rcurve2,,,,4,priority,,,-34,34,90,90,0.25,1,3d,,,pitch,,,94,,,,,,,,,no,right_shot,4000,,,,,,,yes,,,,,,bus_fx,,,,,snp_wpn_1p,,,
